PSA_ID,Domain,English,Kiswahili,Ekegusii,Source,Date,URL,Metadata,Status
PSA001231-BTG,Health,"Before 2003, two human CoVs (HCoVs) were known to cause mild illness, such as common cold.","Kabla ya 2003, virusi viwili vya CoVs (HCoVs) vya binadamu vilijulikana kusababisha ugonjwa usio kali, kama vile homa ya kawaida.","Kabla ya 2003, virusi viwili vya CoV vya binadamu (HCoVs) vilikuwa vinajulikana kusababisha magonjwa ya hali ya chini, kama vile homa ya kawaida.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA003384-BTG,Health,"Phase III trials typically involve more participants, including a control group, and test effectiveness of the vaccine to prevent the disease, while monitoring for adverse effects at the optimal dose.","Kwa kawaida majaribio ya awamu ya III yanahusisha washiriki zaidi, ikiwemo kikundi cha kudhbiti, na kupima ufanisi wa chanjo ya kuzuia ugonjwa huo, wakati ikifuatilia athari mbaya kwa kipimo bora kabisa.","Obotuki bwa ekeombe keria ekenene kia III buna ebirengererio bigosegeta abanto abange, amo nechinguru chioborendi, na goikerania oboremi bw'ekero gotanga oborwaria, na gosegeta obotuki obuya ase obotoki obuya.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000939-BTG,Health,"It highlights that, as at 15 March 8:00 a.m., 15 other EU/EEA countries and the UK had already reported a total number of cases comparable to that of Italy just 3 weeks prior or less.","Inaangazia kwamba, kufikia tarehe 15 Machi 8:00 asubuhi, nchi nyingine 15 za EU/EEA na Uingereza tayari ziliripoti idadi ya jumla ya visa inayoweza kulinganishwa na ile ya Italia katika muda wa wiki 3 awali au chini.","Ogoikerania ng'a, ase chitariki 15 chiomotienyi 3 omotienyi 8, ebinyoro 15 bia EU/EEA na Ekeombe keria ekenene getenenerete obokoreri bwebinyoro buna oboronge bwa Italia nyuma yechingaki 3 gose chingaki chionsi.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA003776-BTG,Security,DCI Fichua hotline number-0800 722 203,,Omoroberio bwokoruta chisemi chiokoruta chipomu (DCI) Fichua nomoroberio 0800 722 203,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001575-BTG,Health,This part of the analysis was limited to persons aged ≥19 years because of the small sample size of cases in children with reported underlying health conditions (N = 32).,Sehemu hii ya uchanganuzi ulifanywa kwa watu wenye umri wa ≥19 pekee kwa sababu ya sampuli ndogo ya visa vya watoto waliokuwa na hali sugu zilizoripotiwa (N = 32).,Ekeombe ekenene ekerengo ekerengererio kiao kiabeire ase abanto bonsi abange ase emyaka ≥19 ase oboremi bwechindagera chionsi ase abana baria baranyare oborwaria (N = 32).,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002416-BTG,Health,"By March, shortages and insufficient amounts of reagent has become a bottleneck for mass testing in the EU and UK and the US.","Kufikia Machi, upungufu na viwango duni ya zana za vipimo imekuwa changamoto kwa kupimwa kwa umma EU na Uingereza na Marekani.","Kufikia mwezi wa Machi, upungufu na kiasi kisichofaa cha reagent kimekuwa kikwazo kwa upimaji wa wingi katika EU na Uingereza na Marekani.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002244-BTG,Health,"Ryan further stated that the current data did not warrant public health officials to declare a global pandemic, saying that such a declaration would mean ""we're essentially accepting that every human on the planet will be exposed to that virus.""","Ryan aliendelea kusema kuwa data za sasa haikuhalisisha ofisa wa afya ya umma kutangaza janga la kimataifa, wakisema kuwa tangazo kama hilo litamaanisha ""tunakubali kimsingi kuwa kila binadamu katika sayari wataweza kuambukizwa na virusi hivyo.""","Ryan otageteirie na korwa ng'a amang'ana ao ao ao tari gokonya abakori emeremo yobochenu bwoborwaria gotabania omoroberio bwokoruta chinguru chiria chieserikari, na koenenia nga ogotabania buna goikerania ""nigo togokonya nge omonto omonene ase enchera yebirusi eyio.""",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001692-BTG,Health,"Recent travel (Y/N); if yes, countries visited in last 14 days","Usafiri wa hivi majuzi (Y/N), ikiwa ndiyo, nchi zilizotembelewa katika siku 14 zilizopita","Ogotwara ebinyoro (Y/N); korwa enchera eyemo, endagera egotwara emeke 14 eyemo.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002170-BTG,Health,"On 20 March, the government announced that all leisure establishments such as pubs and gyms were to close as soon as possible, and promised to pay up to 80% of workers' wages to a limit of £2,500 per month to prevent unemployment in the crisis.On 23 March, the Prime Minister announced tougher social distancing measures, banning gatherings of more than two people and restricting travel and outdoor activity to that deemed strictly necessary.","Mnamo 20 Machi, serikali ilitangaza kuwa vituo vyote vya kustarehe kama vile vilabu na ukumbi wa kufanyia mazoezi zitafungwa mara moja, na kutoa ahadi kulipa hadi 80% ya mshahara ya wafanyakazi hadi kiwango cha £2,500 kila mwezi kuzuia ukosefu wa kazi katika hali hatari.Mnamo 23 Machi, Waziri Mkuu alitangaza hatua madhubuti ya kutotangamana na watu, kupiga marufuku mikutano zaidi ya watu wawili na kuwekwa vikwazo vya usafiri na shughuli za nje pia ambazo waliona kuwa muhimu.","Omotienyi 20 omotienyi omotaraba, eserikari yaamanyirie ng'a ebiombe bionsi bioborendi buna ebiombe na ebiombe biria bigosegeta goikera chingaki chionsi, na koirania gochia 80% ya oboremi bw'abakozi goetera £2,500 omotienyeti erio gotanga obokengeka ase oborendi.Omotienyi 23 omotianyi 3 omotamba, omoroberio omonene bw'omomobasekano, ogotanga abanto goikerania ase abanto abange ase ab",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000752-BTG,Security,The researchers concluded that the ban on plastic bags should be upheld to safeguard livestock industry and environment.,,Abamenyi babwatirie ng'a oborendi bwogotumia ebinto biria bigotumia eplastiki goikeranwa erio gotanga oboremi bwetugo na obotuki.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000334-BTG,Health,People with gonorrhoea should continue treatment until the infection is cured.,,Abamenyi baria bakorwarigwa na gonorrhea babwenerete komenta oborwaria goikera oborwaire bwegosaba.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002802-BTG,Health,LICENSING: CC0: No rights reserved,LESENI: CC0: Hakuna haki zilizohifadhiwa,KWA LICENSE: CC0: Hakuna haki zilizohifadhiwa,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001132-BTG,Health,"Patients with suspected or confirmed COVID-19 mostly experience great fear of the highly contagious and even fatal disease, and quarantined people also experience boredom, loneliness, and anger.","Wagonjwa wanaoshukiwa au waliothibitishwa kuwa na COVID-19 mara nyingi hupitia hali ya hofu kubwa ya ugonjwa huu unaoambukiza sana na hata kuwauwa watu, na watu walio kwenye karantini pia wanapitia hali ya uchovu, upweke na hasira.","Abarwaire baria bakoretwe na COVID-19 gose baranyare korwa oboremi bwao igoro yoboremi bwendagera na goikerania oborwaire bwao, na abanto baria babwatirwe korwa emeremo yokobwaterana nabo bakorire obotugo, oborendi, na obokebago.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000149-BTG,Health,"Insecticide-treated mosquito nets should be used against day-biting mosquitoes by persons who sleep during the daytime, for example young children, sick patients or older people.",,"Ekeombe keria ekoremereria ebinto biria bigosegeta ebinto biogotumia ebinto bigotumia endagera goetera ebinto ebionsi biogosegeta omotienyi ase abanto barara omotieny, buna abana abange, abarwaire barwarete gose abakuru.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001701-BTG,Health,“Not a case” will be presented as “Excluded”.,"""Sio kisa"" vitawasilishwa kuwa ""Havijajumuishwa"".",Si kisa kitawasilishwa kama Hakutengwa.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA003824-BTG,Education,Needy students can apply for county bursaries through their ward education offices.,Wanafunzi maskini wanaweza kuomba misaada ya masomo ya kaunti kupitia ofisi za elimu za kata zao.,Abana baria bare noboremaru baranyare korwa emeroberio yoborendi goetera ebiro biabo bia chisemi chieserikari.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001389-BTG,Health,It is also noteworthy that generally mild symptoms but massive virus shedding were observed in camels experimentally infected with MERS-CoV.,Pia ni muhimu kukumbuka kwamba kwa kawaida dalili kiasi lakini zilizo na utoaji wa virusi kwa wingi kwa jumla zilionekana kwa ngamia walioambukizwa MERS-CoV kwa ajili ya majaribio.,"Nigo goikerania ng'a ebirengererio biobochenu, korwa oboremi bw'ebinyinyi bikorwa ase ebinyinyi bia MERS-CoV.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000104-BTG,Health,"With early-stage breast cancers, radiation can prevent a woman having to undergo a mastectomy.",,"Na kansa ya matiti ya hatua za mapema, mionzi yaweza kumzuia mwanamke kufanya upasuaji wa matiti.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000166-BTG,Health,"Mass administration of antibiotics to prevent cholera (chemoprophylaxis) is not recommended, as it has no proven effect on the spread of cholera and may contribute to antimicrobial resistance.",,"Okoraria ebinto biria bigokonya okorenda cholera (chimoprophylaxis) gotebwate, buna gotikia goikerania okogendereria kwa cholera na gosegeta oboremi bw'ebinto bikorwania cholera.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001331-BTG,Health,"On the other hand, a small subset of severe cases of COVID-19 can also be seen as in the case of SARS-CoV infection, although the ratio is a bit lower.","Kwa upande mwingine, kijikundi kidogo cha visa kali vya COVID-19 pia kinaweza kuonekana kama ilivyo katika kisa cha maambukizi ya SARS-CoV, ingawa vipimo ni vya chini zaidi.","Kwa upande mwingine, sehemu ndogo ya visa vikali vya COVID-19 pia vinaweza kuonekana kama ilivyo katika kisa cha maambukizi ya SARS-CoV, ingawa uwiano ni wa chini kidogo.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000038-BTG,Health,Wash your hands with soap and water and use clean toilets to reduce the risk of infection.,,Sacha mikono yako na sabuni na maji na utumie vyoo safi ili kupunguza hatari ya maambukizi.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA003420-BTG,Health,That means they can have benefits beyond the disease they prevent.,Hiyo inamaanisha kuwa zinaweza kuwa na manufaa zaidi ya ugonjwa ambao zinazuia.,Ikimaanisha kwamba wanaweza kuwa na faida zaidi ya ugonjwa wanaozuizuia.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001621-BTG,Health,Emergence of a Novel Coronavirus (COVID-19): Protocol for Extending Surveillance Used by the Royal College of General Practitioners Research and Surveillance Centre and Public Health England,Kuibuka kwa Virusi vipya vya korona (COVID-19): Utaratibu wa Kuendeleza Uchunguzi Unaotumiwa na Chuo cha Royal College of General Practitioners Research and Surveillance Center pamoja na Public Health England,Ogochakigwa kwa omoroberio omonene bwokorona (COVID-19): Omoroberio bwokogendereria oborendi bwogotumia ekeombe keria ekenene gia Royal College of General Practitioners Research and Surveillance Centre and Public Health England,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002686-BTG,Health,The governor of Maryland mandated that specific child care services remain open for the children of emergency personnel while Washington State and California have left it to the discretion of care providers.,Gavana wa jimbo la Marylanda alitoa kibali kwamba huduma mahususi za kutunza watoto zisalie kufunguliwa kwa ajili ya watoto wa wafanyakazi wa dharura huku jimbo la Washington na California yaliwa yameacha uamuzi huo kufanywa na watoa huduma wa kutunza watoto.,"Omoriki omonene bw'echichi ya Maryland oanenerete ng'a emeroberio yoborendi bw'abana igoro yobokoreri bwebinyoro ase abana baria bakorire oborendi bwa emeremo, ekero eserikari ya Washington na California yaatire ase obokoreri bwabo.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002830-BTG,Health,This includes if you are sick and unable to work.,Hii inajumuisha ikiwa wewe ni mgonjwa na huwezi kufanya kazi.,Hii inajumuisha ikiwa wewe ni mgonjwa na huwezi kufanya kazi.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001978-BTG,Health,The virulence of the comeback would depend on herd immunity and the extent of mutation.,Hali ya kuwa sugu wa kurejea itategemea chanjo kupatikana na kiwango cha mabadiliko ya virusi.,Oboremaru bwokoruta omoroberio bwogokwanerana nobogima bwebinyoro na oboremi bwao.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000217-BTG,Health,Seek care if you have symptoms of depression.,,Renda oborendi bwogokurerwa ekero oranyare ebimanyererio bia obokong'u.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000077-BTG,Health,Medicines and psychological or psychosocial interventions should be tailored to the needs of the person and combined for best outcomes.,,Amariogo na obokoreri bw'obongo gose obobwenia bw'oboroso igoro yobwenia goikerania ebirengererio bia omonto na gosanganigwa ase ebiorokererio biengencho.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001497-BTG,Health,A 29-nucleotide deletion characteristic of SARS-CoVs has been found in strains isolated at the beginning of the human epidemic.,Sifa ya ufutaji wa nukleotidi 29 ya SARS-CoV imepatikana katika sampuli zilizotengwa mwanzoni mwa janga la binadamu.,"Omoroberio bwokoruta ebinto bia SARS-CoV igoro yokorenta ebinto 29 bia nucleotide, bwakorwe ase ebinto biria bigosegeta ebinto ebio ase omoroberio omonene bwomonto.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002458-BTG,Health,A 2013 study showed that improved hand washing practices may lead to small improvements in the length growth in children under five years of age.,Utafiti uliofanywa 2013 ulionyesha kuwa kuboresha matendo ya kuosha mikono kunaweza kusababisha kuboreka kwa viwango vidogo katika kimo cha watoto chini ya umri wa miaka mitano.,Oboronge bwomwaka 2013 bwokoririe ng'a oboremi bwokworokia amaoko nigo bokorenta obokong'u ase abana batari ase emwaka etano.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002758-BTG,Health,"Cabin crew should wear disposable medical gloves when tending to a sick traveler or touching body fluids or potentially contaminated surfaces, and possibly additional personal protective equipment if the sick traveler has fever, persistent cough, or difficulty breathing.","Wafanyakazi wa ndege wanafaa kuvaa glavu za kimatibabu unazoweza kutupa wanapohudumia abiria mgonjwa au kugusa majimaji ya mwili au sehemu ambazo huenda zimeambukizwa, na ikiwezekana vifaa zaidi vya kujikinga kibinafsi ikiwa abiria mgonjwa ana joto jingi, anakohoa sana, au ugumu wa kupumua.","Abamenyi bechinyomba chieserikari goikerania goikera oborwaria bwogokonya omogendeki orwarwari gose gochora ebinto bia omonto gose ebinto biria bigokonya oborwari, gose chingaki chiokwerenda, na gosegeta obokoreri bwao bwokorenda ekero omogendereki ogwenerete korwa omochando, korwa okorwara gose gose okobua.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001200-BTG,Health,Three feet is considered an appropriate distance for people to stay away from a patient.,Mita tatu inazingatiwa kuwa ni umbali unaofaa kwa watu kukaa mbali ya mgonjwa.,Mita mitatu inachukuliwa kuwa umbali unaofaa kwa watu kukaa mbali na mgonjwa.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001875-BTG,Health,"Saudi Arabia extended curfews in the holy cities of Mecca and Medina to last the entire day; previously, the curfew was only in effect between 3 p.m. and 6 a.m.","Saudi Arabia iliongeza siku ya kafyu katika miji mitakatifu ya Mecca na Medinaili kuendelea kwa siku nzima; awali, muda wa kafyu ulikuwa kati ya saa 3 jioni na 6 asubuhi.","Ekeombe keria ekenene gia Saudi Arabia nkiageteirie oborendi bwokoruta chingaki chionsi chiria chieserikari (Mecca) na Medina goetera omotienyi oomo; kera, oboremi bwegokonya chingaki chiria chiria chikoruta chinse chiria chiabeire goetera esikati ya 3:00 na 6:00 omoroberio.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002845-BTG,Health,What happens with the APP (Annual Planning)?,Ni nini hufanyika na APP (Upangaji wa Kila Mwaka)?,Ni nini kinachotokea na APP (Upangilio wa Kila Mwaka)?,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002503-BTG,Health,Frequent use of alcohol-based hand sanitizers can cause dry skin unless emollients and/or skin moisturizers are added to the formula.,Matumizi ya mara kwa mara ya vieuzi vilivyo na alkoholi yanaweza kusababisha kukauka kwa ngozi isipokuwa viungo vya emolienti na/au viungo vya kulainisha ngozi viwe vimeongezwa kwenye fomula hiyo.,Ogotumia ebinto biria bigosegeta amaoko ase oboremi bwogotumia ekero ekero oboikeranu na / gose ebinto biogosegeta ebinto ebio biogokonya ebinto binde biria bikorenta amaoko.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000724-BTG,Agriculture,Remarks The vegetable is ideal for young children as it has many ingredients that mask the bitterness Could also be used for sandwich Care should be taken not to add or use a lot of carrots as they mask the main vegetable.,,Amang'ana Omoroberio oyuo nobwenerete ase abana abange ekiagera endagera nyingi erio erengete oboremi. Oyuo nogotumeka ase omoroberio bwokoruta chinguru.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002328-BTG,Health,"During the second half of March, 4 million French workers applied for temporary unemployment benefits and 1 million British workers applied for a universal credit scheme.Almost half a million companies in Germany have sent their workers on a government-subsidized short-time working schemes known as Kurzarbeit.","Katika awamu ya pili ya mwezi Machi, Wafanyakazi milioni 4 Wafaransa walituma maombi ya manufaa ya kutoajiriwa na wafanyakazi milioni 1 Waingereza walituma maombi ya mpango wa mkopo wa kwa wote.Takriban kampuni nusu milioni nchini Ujerumani zimewatuma wafanyakazi wao katika mpango unaofadhiliwa na serikali wa kazi ya muda mfupi unaofahamika kuwa Kurzarbeit.","Ekeombe keria ekenene kia omotienyi omotaraba, abakori emirioni 4 aaria France baboririe oboremi bw'obosemia bwetugo na abakori omamiliyoni 1 aaria Britain baborire omoroberio bwokorenta chibesa chionsi.Abana baria bakorire emirion etano ase chingaki chiogokonya ase obokoreri bw'eserikari ase omoberio o'omoroberio omotambe omonene ogotamanyete buna Kurzarbeit.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000324-BTG,Health,Diagnosing and addressing the factors that prevent the poor from using priority health services are all critical to ensuring FHC policies benefit the most vulnerable.,,Goikerania na korwania ebinto biria bigosegeta abanyaroka korwa obokoreri bwobobwenia bwogokonya emeremo yebirengererio bia oborwaria nigo biranyare ase okorwania ng'a amachiko ya FHC egokonya abanto baria bakoremereria.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
