"Domain","English","Kiswahili","Ekegusii","Notes"
"Education","Technical training institutes will admit students who sat their national examinations regardless of their final grades.","Taasisi za mafunzo ya kiufundi zitawakubali wanafunzi waliofanya mitihani yao ya kitaifa bila kujali alama walizopata.","","Vocational training"
"Education","Youth who complete artisan courses can register for trade tests to have their skills formally recognised.","Vijana wanaomaliza kozi za ufundi wa vitendo wanaweza kusajiliwa kwa mitihani ya ufundi ili ujuzi wao utambuliwe rasmi.","","Vocational training"
"Education","The county government will sponsor needy youth to join vocational training centres within their sub-counties.","Serikali ya kaunti itawadhamini vijana maskini kujiunga na vituo vya mafunzo ya ufundi vilivyomo katika wilaya zao ndogo.","","Vocational training"
"Education","Parents are advised to guide their children towards technical courses, which offer strong opportunities for self-employment.","Wazazi wanashauriwa kuwaongoza watoto wao kuelekea kozi za kiufundi, ambazo hutoa fursa nzuri za kujiajiri.","","Vocational training"
"Education","Workers who acquired their skills informally can now be assessed and certified through recognition of prior learning.","Wafanyakazi waliojifunza ujuzi wao kwa njia isiyo rasmi sasa wanaweza kupimwa na kutunukiwa vyeti kupitia utambuzi wa ujuzi uliopatikana hapo awali.","","Vocational training"
"Education","Schools are encouraged to hold civic education sessions that teach learners about their rights and responsibilities as citizens.","Shule zinahimizwa kufanya vikao vya elimu ya kiraia vinavyowafundisha wanafunzi kuhusu haki na wajibu wao kama raia.","","Civic education"
"Education","The Ministry of Education will partner with civil society to deliver voter awareness programmes in secondary schools.","Wizara ya Elimu itashirikiana na asasi za kiraia kutoa programu za uelewa wa kupiga kura katika shule za sekondari.","","Civic education"
"Education","Learners who turn eighteen are urged to register as voters and participate in choosing their leaders peacefully.","Wanafunzi wanaofikisha umri wa miaka kumi na nane wanahimizwa kujisajili kama wapiga kura na kushiriki kwa amani katika kuchagua viongozi wao.","","Civic education"
"Education","Community barazas will be held in every ward to educate residents on the importance of public participation in county planning.","Mikutano ya baraza itafanywa katika kila kata kuwaelimisha wakazi kuhusu umuhimu wa ushiriki wa umma katika mipango ya kaunti.","","Civic education"
"Education","Teachers are reminded to remain neutral when guiding classroom discussions on elections and national governance.","Walimu wanakumbushwa kutokuwa na upendeleo wanapoongoza mjadala darasani kuhusu uchaguzi na utawala wa kitaifa.","","Civic education"
"Education","Civic education materials in local languages are available at sub-county education offices for community trainers.","Vifaa vya elimu ya kiraia kwa lugha za kienyeji vinapatikana katika ofisi za elimu za wilaya ndogo kwa ajili ya waelimishaji wa jamii.","","Civic education"
"Education","Parents are encouraged to discuss national values such as honesty, respect, and responsibility with their children at home.","Wazazi wanahimizwa kujadiliana na watoto wao nyumbani kuhusu maadili ya kitaifa kama uaminifu, heshima na uwajibikaji.","","Civic education"
"Education","The county government urges residents to attend public forums before decisions on development projects are made.","Serikali ya kaunti inawahamasisha wakazi kuhudhuria mikutano ya umma kabla ya maamuzi kuhusu miradi ya maendeleo kufanywa.","","Civic education"
"Education","School drama and music festivals will include themes that promote peace, tolerance, and national unity among learners.","Tamasha za maigizo na muziki shuleni zitajumuisha mada zinazohimiza amani, uvumilivu na mshikamano wa kitaifa miongoni mwa wanafunzi.","","Civic education"
"Education","Young people are reminded that voting is a right and a duty, and every voice counts in building the nation.","Vijana wanakumbushwa kwamba kupiga kura ni haki na wajibu, na kila sauti ni muhimu katika kujenga taifa.","","Civic education"
"Education","The Ministry of Education has distributed new textbooks to all public schools and will verify their use termly.","Wizara ya Elimu imesambaza vitabu vipya vya kiada katika shule zote za umma na itathibitisha matumizi yake kila muhula.","","Educational resources"
"Education","School feeding programmes will continue in all public primary schools, and no child should be sent away from school.","Programu za chakula shuleni zitaendelea katika shule zote za msingi za umma, na hakuna mtoto anayepaswa kufukuzwa shuleni.","","Educational resources"
"Education","Donors and well-wishers are invited to support school libraries by donating storybooks in English and Kiswahili.","Wafadhili na wemaaji wanaalikwa kusaidia maktaba za shule kwa kutoa vitabu vya hadithi kwa Kiingereza na Kiswahili.","","Educational resources"
"Education","Schools that received ICT devices must ensure they are used for learning and kept in secure rooms.","Shule zilizopokea vifaa vya ICT lazima zihakikishe vinatumiwa kwa kujifunzia na kuhifadhiwa katika vyumba salama.","","Educational resources"
"Education","Parents whose children qualify for the school meals programme should confirm registration with the head teacher.","Wazazi ambao watoto wao wanastahili programu ya chakula shuleni wanapaswa kuthibitisha usajili na mwalimu mkuu.","","Educational resources"
"Education","The county education office will inspect school libraries to confirm that books are accessible to all learners.","Ofisi ya elimu ya kaunti itakagua maktaba za shule ili kuthibitisha kwamba vitabu vinafikika kwa wanafunzi wote.","","Educational resources"
"Education","Secondary schools are reminded to keep laboratories stocked with basic materials for practical science lessons.","Shule za sekondari zinakumbushwa kuhakikisha maabara zina vifaa vya msingi kwa ajili ya masomo ya vitendo vya sayansi.","","Educational resources"
"Education","Digital learning devices distributed to learners remain government property and must be returned in good condition.","Vifaa vya kujifunzia vya kidijitali vilivyogawiwa wanafunzi vinabaki kuwa mali ya serikali na vinapaswa kurudishwa katika hali nzuri.","","Educational resources"
"Education","Head teachers must display the list of bursary beneficiaries on the school noticeboard for transparency.","Walimu wakuu lazima wabandike orodha ya wafaidi wa misaada ya masomo kwenye ubao wa matangazo wa shule kwa uwazi.","","Educational resources"
"Education","Community members are urged to protect school property and report any vandalism of classrooms, desks, or water tanks.","Wanajamii wanahimizwa kulinda mali ya shule na kuripoti uharibifu wowote wa madarasa, madawati au mizinga ya maji.","","Educational resources"
"Education","All schools must enforce anti-bullying rules and report serious cases to the sub-county education office immediately.","Shule zote lazima zitekeleze sheria dhidi ya unyanyasaji na kuripoti kesi kubwa kwa ofisi ya elimu ya wilaya ndogo mara moja.","","School safety and inclusion"
"Education","Parents should report any form of abuse against a child to the nearest chief's office or police station.","Wazazi wanapaswa kuripoti unyanyasaji wa aina yoyote dhidi ya mtoto katika ofisi ya chifu aliye karibu au kituo cha polisi.","","School safety and inclusion"
"Education","Learners with disabilities have the right to learn, and schools must provide reasonable support for their needs.","Wanafunzi wenye ulemavu wana haki ya kujifunza, na shule lazima zitoe msaada unaofaa kwa mahitaji yao.","","School safety and inclusion"
"Education","School administrations must ensure that toilets, classrooms, and playgrounds are safe and accessible to every learner.","Utawala wa shule lazima uhakikishe kwamba vyoo, madarasa na viwanja vya michezo ni salama na vinafikika kwa kila mwanafunzi.","","School safety and inclusion"
"Education","Teachers are urged to watch for signs of distress in learners and refer them for guidance and counselling.","Walimu wanahimizwa kuwa makini na ishara za huzuni kwa wanafunzi na kuwaelekeza kwa huduma za mwongozo na ushauri.","","School safety and inclusion"
"Education","The Ministry of Education directs all schools to hold regular safety drills for fire and other emergencies.","Wizara ya Elimu inaagiza shule zote kufanya mazoezi ya usalama mara kwa mara kwa ajili ya moto na dharura nyingine.","","School safety and inclusion"
"Education","Girls must not be discriminated against in science, mathematics, or any subject offered in our schools.","Wasichana hawapaswi kubaguliwa katika masomo ya sayansi, hesabu au somo lolote linalotolewa katika shule zetu.","","School safety and inclusion"
"Education","Schools receiving learners with special needs will get additional resources and trained teachers to support inclusion.","Shule zinazopokea wanafunzi wenye mahitaji maalum zitapata rasilimali za ziada na walimu waliofundishwa ili kuunga mkono ushirikishwaji.","","School safety and inclusion"
"Education","Parents are reminded to accompany young children to school and teach them road safety rules.","Wazazi wanakumbushwa kuwasindikiza watoto wadogo hadi shuleni na kuwafundisha sheria za usalama barabarani.","","School safety and inclusion"
"Education","Any person who defiles or abuses a school child will face the full force of the law.","Mtu yeyote atakayemtendea mtoto wa shule ubakaji au unyanyasaji atakabiliwa na nguvu kamili ya sheria.","","School safety and inclusion"
"Security","NTSA reminds all road users to observe speed limits and avoid driving while tired or under the influence of alcohol.","NTSA inawakumbusha watumiaji wote wa barabara kuzingatia miinuko ya mwendo na kuepuka kuendesha gari wakiwa imechoka au chini ya ushawishi wa pombe.","","Public safety awareness"
"Security","Motorists are advised to avoid flooded roads and bridges until the water levels go down completely.","Madereva wanashauriwa kuepuka barabara na madaraja yaliyofurika hadi kiwango cha maji kipungue kabisa.","","Public safety awareness"
"Security","Pedestrians should always use footbridges and zebra crossings, and wear bright clothing when walking at night.","Waenda kwa miguu wanapaswa kutumia madaraja ya kuvuka na miwaba kila wakati, na kuvaa mavazi yanayong'aa wanapotembea usiku.","","Public safety awareness"
"Security","The Kenya Meteorological Department warns residents in low-lying areas to move to higher ground before the heavy rains begin.","Idara ya Hali ya Hewa ya Kenya inawaonya wakazi wa maeneo ya chini kuhama na kwenda sehemu za juu kabla mvua kubwa haijaanza.","","Public safety awareness"
"Security","Every household is encouraged to prepare an emergency kit with water, food, medicine and a torch before the rainy season.","Kila kaya inahimizwa kuandaa kifurushi cha dharura chenye maji, chakula, dawa na tochi kabla ya msimu wa mvua.","","Public safety awareness"
"Security","Parents are urged to teach children what to do during an earthquake: drop down, take cover and hold on firmly.","Wazazi wanahimizwa kuwafundisha watoto la kufanya tetemeko linapotokea: jilaze chini, jifiche na kushikilia kwa nguvu.","","Public safety awareness"
"Security","Boda boda riders and their passengers must always wear helmets to reduce the risk of serious injury on our roads.","Waendesha pikipiki za boda boda na abiria wao ni lazima wavae kofia ngumu kila wakati ili kupunguza hatari ya kujeruhiwa vibaya barabarani.","","Public safety awareness"
"Security","Schools are advised to hold regular fire drills so that pupils and teachers know how to evacuate safely and quickly.","Shule zinashauriwa kufanya mazoezi ya kukimbia moto mara kwa mara ili wanafunzi na walimu wajue jinsi ya kujikwamua kwa usalama na haraka.","","Public safety awareness"
"Security","Do not overload electrical sockets and always switch off appliances before leaving home to prevent fire accidents.","Usipakize soketi za umeme zaidi ya kiasi na daima zima vifaa vya umeme kabla ya kuondoka nyumbani ili kuzuia ajali za moto.","","Public safety awareness"
"Security","In case of a fire outbreak, call the fire brigade immediately and never go back inside a burning building.","Iwapo moto utazuka, pigia simu kikosi cha kuzima moto mara moja na usirudi ndani ya jengo linalowaka.","","Public safety awareness"
"Security","The National Police Service urges the public to report any suspicious persons or activities to the nearest police station without delay.","Jeshi la Polisi la Kitaifa linahimiza umma kuripoti watu au shughuli zozote zinazoshukiwa katika kituo cha polisi kilicho karibu bila kuchelewa.","","Crime prevention"
"Security","Residents are encouraged to join community policing forums and work closely with their local chief and police officers.","Wakazi wanahimizwa kujiunga na vikao vya usalama wa jumuiya na kufanya kazi kwa karibu na chifu na maafisa wa polisi wa eneo lao.","","Crime prevention"
"Security","Under the nyumba kumi initiative, every household should know its neighbours and report strangers loitering in the area.","Katika mpango wa nyumba kumi, kila kaya inapaswa kuwajua majirani zake na kuripoti wageni wanaozurura eneo hilo.","","Crime prevention"
"Security","Always lock your doors and windows, and do not leave valuables visible through windows when you are away from home.","Daima funga milango na madirisha yako kwa kufuli, na usiache vifaa vya thamani vikionekana kupitia madirisha unapokuwa hayupo nyumbani.","","Crime prevention"
"Security","The DCI advises business owners to install security lights and alarm systems to deter thieves from targeting their premises.","DCI inawashauri wafanyabiashara kufunga taa za usalama na mifumo ya kengele ili kuzuia wezi kuwalenga majumba yao ya biashara.","","Crime prevention"
"Security","If you witness a crime, stay calm, do not confront the suspect, and report to the police as soon as it is safe.","Ukishuhudia uhalifu, jikaze, usimkabili mshukiwa, na uripoti kwa polisi haraka iwezekanavyo kwa usalama wako.","","Crime prevention"
"Security","Community members are reminded that mob justice is a crime; always hand over suspects to the police for lawful action.","Wanajamii wanakumbushwa kwamba sheria ya kujichukulia mkononi ni uhalifu; daima wakabidhi wahukiwa kwa polisi ili hatua za kisheria zichukuliwe.","","Crime prevention"
"Security","Motorcycle owners are advised to install tracking devices and park in well-lit, guarded areas to prevent theft.","Wamiliki wa pikipiki wanashauriwa kufunga vifaa vya kufuatilia na kuegesha sehemu zenye mwanga na walinzi ili kuzuia wizi.","","Crime prevention"
"Security","Local chiefs urge residents to attend barazas where security matters affecting the community are discussed openly and peacefully.","Machifu wa maeneo wanahimiza wakazi kuhudhuria mabaraza ambayo masuala ya usalama yanayogusa jumuiya hujadiliwa kwa uwazi na kwa amani.","","Crime prevention"
"Security","Do not share your travel plans or valuables on social media, as criminals may use this information to target your home.","Usitangaze mipango yako ya safari au mali zako kwenye mitandao ya kijamii, kwani wahalifu wanaweza kutumia taarifa hizo kuilenga nyumba yako.","","Crime prevention"
"Security","The public is urged to remain vigilant and report unattended bags or parcels in public places to security officers immediately.","Umma unahimizwa kuwa waangalifu na kuripoti mifuko au vifurushi vilivyowekwa wazi mahali pa umma kwa maafisa wa usalama mara moja.","","National security"
"Security","In the event of a security alert, follow instructions from uniformed officers and move calmly to the designated safe areas.","Iwapo kutakuwa na tahadhari ya usalama, fuata maagizo ya maafisa wenye sare na uende kwa utulivu hadi maeneo salama yaliyoteuliwa.","","National security"
"Security","Security agencies remind Kenyans that terrorism is defeated through cooperation between citizens and the government at all levels.","Mashirika ya usalama yanawakumbusha Wakenya kwamba ugaidi hushindwa kupitia ushirikiano kati ya wananchi na serikali katika ngazi zote.","","National security"
"Security","Do not take photographs of government installations or security operations, as this may endanger national security.","Usipige picha vituo vya serikali au shughuli za usalama, kwani hili linaweza kuhatarisha usalama wa taifa.","","National security"
"Security","Every Kenyan has a role in keeping the country safe; if you see something unusual, say something to the authorities.","Kila Mkenya ana jukumu la kulinda usalama wa nchi; ukiona jambo lisilo la kawaida, lifafanue kwa mamlaka husika.","","National security"
"Security","Schools and places of worship are encouraged to review their emergency plans and train members on safe evacuation procedures.","Shule na mahali pa ibada vinahimizwa kupitia tena mipango yao ya dharura na kuwafundisha wanachama taratibu salama za kujikwamua.","","National security"
"Security","During national emergencies, rely only on information from official government channels and avoid spreading unverified rumours.","Wakati wa dharura za kitaifa, tumia tu taarifa kutoka vyanzo rasmi vya serikali na epuka kueneza uvumi usiothibitishwa.","","National security"
"Security","Cooperate fully with security checks at public buildings, bus stations and shopping centres; these measures protect everyone.","Shirikiana kikamilifu na ukaguzi wa usalama katika majengo ya umma, vituo vya mabasi na maduka makubwa; hatua hizi hulinda kila mtu.","","National security"
"Security","Landlords and hotel operators are reminded to keep proper records of tenants and guests as required by security regulations.","Wamiliki wa nyumba za kupanga na wahudumu wa mahoteli wanakumbushwa kuweka kumbukumbu sahihi za wapangaji na wageni kama inavyohitajika na kanuni za usalama.","","National security"
"Security","Community leaders are urged to promote peace and report early signs of radicalisation or violent extremism to the authorities.","Viongozi wa jamii wanahimizwa kukuza amani na kuripoti ishara za mapema za itikadi kali na ugaidi kwa mamlaka husika.","","National security"
"Security","Gender-based violence is a crime in Kenya; survivors are encouraged to report to the nearest police station or health facility.","Ukatili wa kijinsia ni uhalifu nchini Kenya; washirika wanaopitia ukatili huu wanahimizwa kuripoti katika kituo cha polisi au kituo cha afya kilicho karibu.","","Gender-based violence"
"Security","If you or someone you know is experiencing abuse, call the national GBV helpline for free, confidential support at any time.","Iwapo wewe au mtu unayemjua anapitia unyanyasaji, pigia simu laini ya kitaifa ya GBV kupata msaada wa bure na wa siri wakati wowote.","","Gender-based violence"
"Security","Survivors of violence deserve respect and care; seek medical attention within the recommended time and preserve any evidence safely.","Waliopitia ukatili wanastahili heshima na utunzaji; tafuta huduma ya afya ndani ya muda unaopendekezwa na uhifadhi ushahidi wowote kwa usalama.","","Gender-based violence"
"Security","No one has the right to hurt you; support services will listen without judgement and help you make safe choices.","Hakuna mtu aliye na haki ya kukuumiza; huduma za msaada zitakusikiliza bila kukuhukumu na kukusaidia kufanya maamuzi salama.","","Gender-based violence"
"Security","Community members are urged to speak out against harmful practices and protect women, girls and boys from all forms of abuse.","Wanajamii wanahimizwa kuongea dhidi ya desturi zinazodhuru na kuwalinda wanawake, wasichana na wavulana dhidi ya aina zote za unyanyasaji.","","Gender-based violence"
"Security","Chiefs and community elders are reminded that resolving defilement or assault cases at home is against the law; report them immediately.","Machifu na wazee wa jamii wanakumbushwa kwamba kutatua kesi za ubakaji au mashambulizi nyumbani ni kinyume cha sheria; ziripoti mara moja.","","Gender-based violence"
"Security","NGOs supporting survivors offer counselling, legal guidance and safe shelter; reaching out for help is a sign of strength, not weakness.","Mashirika yasiyo ya kiserikali yanayowasaidia washirika hutoa ushauri, mwongozo wa kisheria na makazi salama; kutafuta msaada ni ishara ya nguvu, si udhaifu.","","Gender-based violence"
"Security","Men and boys are called upon to be allies in ending gender-based violence by challenging harmful attitudes in their communities.","Wanaume na wavulana wanaalikwa kuwa washirika katika kukomesha ukatili wa kijinsia kwa kupinga mitazamo michafu katika jamii zao.","","Gender-based violence"
"Security","If you suspect a child is being abused, report to the children's officer or the nearest police station; your action can save a life.","Ukishuki mtoto ananyanyaswa, ripoti kwa afisa wa watoto au kituo cha polisi kilicho karibu; hatua yako inaweza kuokoa maisha.","","Gender-based violence"
"Security","Everyone deserves to live free from fear; together we can build homes and communities where violence is never tolerated.","Kila mtu anastahili kuishi bila hofu; kwa pamoja tunaweza kujenga nyumba na jamii ambako ukatili huvumiliwi kamwe.","","Gender-based violence"
"Security","The Communications Authority of Kenya warns the public never to share M-Pesa PINs or one-time codes with anyone, including callers claiming to be agents.","Mamlaka ya Mawasiliano ya Kenya inaonya umma kutowahi kugawa PIN za M-Pesa au misimbo ya kuthibitisha na mtu yeyote, hata wanaojiita mawakala.","","Cybersecurity"
"Security","Safaricom and bank staff will never call to ask for your PIN or password; hang up and report such callers to the authorities.","Wafanyakazi wa Safaricom na benki hawatawahi kupiga simu kuuliza PIN au nenosiri lako; kata simu na uwaripoti wapigaji kama hao kwa mamlaka.","","Cybersecurity"
"Security","Before sending money, confirm the recipient's name carefully and beware of fake reversal messages asking you to refund funds.","Kabla ya kutuma pesa, hakikisha jina la mpokeaji kwa makini na ujihadhari na ujumbe bandia wa kurudisha pesa unaokuuliza kurejesha fedha.","","Cybersecurity"
"Security","Use strong passwords with a mix of letters, numbers and symbols, and never use the same password on different accounts.","Tumia manenosiri imara yenye mchanganyiko wa herufi, nambari na alama, na usitumie nenosiri moja kwenye akaunti tofauti.","","Cybersecurity"
"Security","Parents are urged to monitor their children's online activities and teach them never to share personal details or photos with strangers.","Wazazi wanahimizwa kufuatilia shughuli za watoto wao mtandaoni na kuwafundisha kutogawa taarifa binafsi au picha kwa wageni.","","Cybersecurity"
"Security","Do not click on links promising free loans, prizes or job offers; genuine organisations never ask for fees through random messages.","Usibofye viungo vinavyoahidi mikopo ya bure, zawadi au kazi; mashirika halisi hayawahi kuomba ada kupitia ujumbe wa nasibu.","","Cybersecurity"
"Security","If your phone is lost or stolen, report immediately to your mobile service provider and the police to block your lines and accounts.","Iwapo simu yako imepotea au imeibiwa, ripoti mara moja kwa mtoa huduma wa simu na polisi ili kuzuia laini na akaunti zako.","","Cybersecurity"
"Security","Enable two-step verification on your email and social media accounts to keep hackers away from your personal information.","Wezesha uthibitishaji wa hatua mbili kwenye barua pepe na akaunti zako za mitandao ya kijamii ili kuwazuia wadukuzi kufikia taarifa zako binafsi.","","Cybersecurity"
"Security","Online fraudsters often pretend to be friends in distress; always call the person directly to confirm before sending any money.","Watangamizi wa mtandaoni mara nyingi hujifanya marafiki walio katika shida; daima pigia mtu huyo simu moja kwa moja kuthibitisha kabla ya kutuma pesa yoyote.","","Cybersecurity"
"Security","The DCI reminds Kenyans to report cybercrime, including online harassment and fraud, at any police station or through official reporting channels.","DCI inawakumbusha Wakenya kuripoti uhalifu wa mtandaoni, ikijumuisha unyanyasaji na ulaghai wa mtandaoni, katika kituo chochote cha polisi au kupitia njia rasmi za kuripoti.","","Cybersecurity"
"Governance","The EACC encourages citizens to report any public officer who asks for a bribe before providing a government service.","EACC inahimiza raia kuripoti afisa yeyote wa umma anayeomba rushwa kabla ya kutoa huduma ya serikali.","","Anti-corruption initiatives"
"Governance","No government service requires a bribe; refuse to pay, note the officer's name, and report to the EACC.","Hakuna huduma ya serikali inayohitaji rushwa; kataa kulipa, andika jina la afisa, na uripoti kwa EACC.","","Anti-corruption initiatives"
"Governance","Whistleblowers are protected by law; you can report corruption confidentially without fear of victimisation.","Watoaji taarifa za ufisadi hulindwa na sheria; unaweza kuripoti ufisadi kwa siri bila hofu ya kunyanyaswa.","","Anti-corruption initiatives"
"Governance","Public officers are reminded that declaring their wealth as required by law is not optional but a legal duty.","Maafisa wa umma wanakumbushwa kwamba kutangaza mali zao kama inavyohitajika na sheria si lazima bali ni wajibu wa kisheria.","","Anti-corruption initiatives"
"Governance","The EACC urges institutions to strengthen internal audit systems to prevent misuse of public funds.","EACC inahimiza taasisi kuimarisha mifumo ya ukaguzi wa ndani ili kuzuia matumizi mabaya ya fedha za umma.","","Anti-corruption initiatives"
"Governance","Citizens are urged to demand official receipts for every payment made at government offices.","Raia wanahimizwa kudai risiti rasmi kwa kila malipo yanayofanywa katika ofisi za serikali.","","Anti-corruption initiatives"
"Governance","Integrity begins with each of us; do not offer a bribe even when you are in a hurry to be served.","Uadilifu huanza na kila mmoja wetu; usitoe rushwa hata ukiwa na haraka ya kuhudumiwa.","","Anti-corruption initiatives"
"Governance","The county government will publish all tender awards publicly to promote transparency in procurement.","Serikali ya kaunti itachapisha wazi tuzo zote za zabuni ili kukuza uwazi katika ununuzi.","","Anti-corruption initiatives"
"Governance","Students and young people are encouraged to join integrity clubs in schools to promote honesty from an early age.","Wanafunzi na vijana wanahimizwa kujiunga na vilabu vya uadilifu shuleni ili kukuza uaminifu tangu utotoni.","","Anti-corruption initiatives"
"Governance","Anyone who falsifies documents to obtain public funds will be prosecuted and required to repay every shilling.","Mtu yeyote atakayegushi nyaraka ili kupata fedha za umma atafunguliwa mashtaka na kulazimishwa kulipa kila shilingi.","","Anti-corruption initiatives"
"Governance","Members of the public are invited to submit their views on the proposed county budget at the ward offices.","Wananchi wanaalikwa kuwasilisha maoni yao kuhusu bajeti iliyopendekezwa ya kaunti katika ofisi za wadi.","","Public participation"
"Governance","The county government will hold public hearings in every sub-county before finalising the development plan.","Serikali ya kaunti itafanya vikao vya kusikiliza umma katika kila wilaya ndogo kabla ya kukamilisha mpango wa maendeleo.","","Public participation"
"Governance","Your voice matters; attend the next public participation forum and tell your leaders what your community needs.","Sauti yako ni muhimu; hudhuria kikao kijacho cha ushiriki wa umma na uwaambie viongozi wako mahitaji ya jumuiya yako.","","Public participation"
"Governance","Residents can now submit memoranda on proposed bills through the county assembly website or in person.","Wakazi sasa wanaweza kuwasilisha maombi yao kuhusu mswada uliopendekezwa kupitia tovuti ya bunge la kaunti au kwa kufika wenyewe.","","Public participation"
"Governance","Ward administrators will visit each village to collect views on priority projects for the coming year.","Wasimamizi wa wadi watatembelea kila kijiji kukusanya maoni kuhusu miradi ya kipaumbele kwa mwaka ujao.","","Public participation"
"Governance","All public participation meetings are free and open to every resident, including persons with disabilities.","Mikutano yote ya ushiriki wa umma ni ya bure na wazi kwa kila mkazi, ikiwemo watu wenye ulemavu.","","Public participation"
"Governance","Young people are encouraged to attend county budget forums to understand how public money is planned and spent.","Vijana wanahimizwa kuhudhuria vikao vya bajeti ya kaunti ili kuelewa jinsi fedha za umma zinavyopangwa na kutumika.","","Public participation"
"Governance","The county assembly invites persons with disabilities to accessible forums; sign language interpreters will be provided.","Bunge la kaunti linawaalika watu wenye ulemavu kwenye vikao vinavyowafaa; wakalimani wa lugha ya ishara watatolewa.","","Public participation"
"Governance","Community proposals submitted during public participation must be acknowledged and responded to within the set timelines.","Mapendekezo ya jamii yanayowasilishwa wakati wa ushiriki wa umma lazima yatambuliwe na kujibiwa ndani ya muda uliowekwa.","","Public participation"
"Governance","Residents are reminded that public participation is a constitutional right, not a favour from leaders.","Wakazi wanakumbushwa kwamba ushiriki wa umma ni haki ya katiba, si neema kutoka kwa viongozi.","","Public participation"
"Governance","The IEBC urges all eligible Kenyans to confirm their voter registration details before the register is finalised.","IEBC inahimiza Wakenya wote wanaostahili kuthibitisha taarifa zao za usajili wa kupiga kura kabla daftari halijakamilishwa.","","Elections and voter education"
"Governance","Voter registration is free and open at all IEBC constituency offices; carry your national ID card.","Usajili wa kupiga kura ni wa bure na unapatikana katika ofisi zote za IEBC za majimbo; beba kitambulisho chako cha kitaifa.","","Elections and voter education"
"Governance","Every vote counts; plan your voting day early and encourage your family and neighbours to vote peacefully.","Kila kura ni muhimu; panga siku yako ya kupiga kura mapema na uhimize familia na majirani zako kupiga kura kwa amani.","","Elections and voter education"
"Governance","Kenyans are urged to reject violence and hate speech before, during and after the elections.","Wakenya wanahimizwa kukataa vurugu na lugha za chuki kabla, wakati na baada ya uchaguzi.","","Elections and voter education"
"Governance","First-time voters are reminded that the ballot is secret; no one should force you to reveal your choice.","Wapiga kura wa mara ya kwanza wanakumbushwa kwamba kura ni siri; hakuna mtu anayepaswa kukulazimisha kufichua chaguo lako.","","Elections and voter education"
